,0
way/119244495-220,way/119244495-400
way/120707003-225,way/120707003-400
way/121085952-220,way/121085952-380
way/121085952-225,way/121085952-380
way/121199242-220,way/121199242-380
way/121297422-225,way/121297422-400
way/121500497-225,way/121500497-400
way/121656686-220,way/121656686-400
way/1222597066-220,way/1222597066-380
way/1223405794-220,way/1223405794-380
way/122563466-225,way/122563466-400
way/124121964-220,way/124121964-400
way/124244078-220,way/124244078-400
way/1246030551-220,way/308181656-380
way/1246115410-220,way/1246115410-400
way/124722161-220,way/124722161-400
way/1256076415-220,way/1256076415-400
way/1256107398-220,way/1256107398-400
way/125672002-220,way/125672002-400
way/1258230062-220,way/1258230062-380
way/1262722032-220,way/1262722032-400
way/1262731213-220,way/1262731213-400
way/1265528535-220,way/1265528535-330
way/1266081844-220,way/1266081844-400
way/126987023-220,way/126987023-400
way/127004407-380,way/127004407-400
way/1271288345-225,way/1271288345-400
way/1275300370-275,way/1275300370-400
way/1277630152-220,way/1277630152-400
way/128406208-300,way/128406208-420
way/1284726676-220,way/1284726676-400
way/1287693974-220,way/1287693974-400
way/129378915-220,way/129378915-400
way/129378915-225,way/129378915-400
way/129441519-220,way/129441519-400
way/129767234-220,way/129767234-400
way/1303270458-220,way/1303270458-380
way/130644710-220,way/130644710-400
way/131715746-220,way/131715746-400
way/132701980-220,way/132701980-380
way/1327333163-220,way/1327333163-380
way/133323988-275,way/133323988-400
way/133537926-220,way/133537926-400
way/133601335-220,way/133601335-380
way/136762727-220,way/136762727-380
way/137602559-220,way/137602559-380
way/138362793-220,way/138362793-400
way/138382023-225,way/138382023-400
way/139442467-220,way/139442467-380
way/139452056-220,way/139452056-400
way/140375658-220,way/140375658-380
way/140715391-220,way/61712456-380
way/142182853-220,way/142182853-400
way/142321228-220,way/142321228-400
way/142841192-275,way/142841192-400
way/143207685-220,way/143207685-400
way/143398451-275,way/143398451-400
way/143483666-220,way/143483666-400
way/143882655-220,way/143882655-380
way/143903369-220,way/143903369-380
way/143905069-275,way/143905069-400
way/144327157-220,way/144327157-400
way/144374439-220,way/144374439-400
way/144385734-220,way/144385734-400
way/144396412-220,way/144396412-400
way/144439469-220,way/144439469-400
way/144439472-220,way/144439472-400
way/144487932-220,way/144487932-400
way/144564903-220,way/144564903-400
way/144767090-220,way/144767090-400
way/144787749-220,way/144787749-400
way/144787750-220,way/144787750-400
way/144915428-220,way/144915428-400
way/144936638-220,way/144936638-400
